brand,j_type,rating_no_clean,rating,review_no_clean,review_num,price_no_clean,price
Swarovski,5451263 Gold Lucky Goddess Charms Women's Necklace  ,,,,,SAR 870.69,870.69
GUESS,"Pendant Necklaces for Women,Stainless Steel - UBN31304N  ",4.5 out of 5 stars,4.5,2,2,SAR 225.00,225
Swarovski,Crystal Lifelong Medium Bow Ring White Mixed Plated  ,2.6 out of 5 stars,2.6,2,2,SAR 304.54,304.54
Swarovski,Women's Leather Look Crystal Power Bracelet Collection  ,4.4 out of 5 stars,4.4,437,437,,
Swarovski,Crystal Two-Tone Small Bow Necklace  ,4.6 out of 5 stars,4.6,6,6,SAR 395.50,395.5
GUESS,Toggle Chain Bracelet with Logo Heart Link Charm Bracelet  ,3.9 out of 5 stars,3.9,18,18,SAR 81.55,81.55
GUESS,Enamel Silver Hoop Earrings  ,4.6 out of 5 stars,4.6,41,41,SAR 82.18,82.18
GUESS,Anyone's Guess Multi Linked Hoop Earrings  ,4.0 out of 5 stars,4,10,10,SAR 83.72,83.72
GUESS,HEART JEWELLERY GUESS IS FOR LOVERS UBN70026  ,5.0 out of 5 stars,5,1,1,SAR 139.22,139.22
GUESS,Bracelet Golden Hour Ubb70141-S Open Stainless Steel Rhodium Plated 4 G Logo Engraved  ,5.0 out of 5 stars,5,1,1,SAR 165.64,165.64
GUESS,UBS21504N-L Bracelet For Women  ,1.0 out of 5 stars,1,1,1,SAR 124.00,124
Swarovski,Women No Metal Wrap Bracelet - 5511698  ,4.4 out of 5 stars,4.4,160,160,SAR 251.25,251.25
GUESS,Long Layered Necklace with Stones  ,,,,,SAR 119.58,119.58
Swarovski,Women's Power Elements Crystal Cord Bracelet Collection  ,4.3 out of 5 stars,4.3,132,132,SAR 279.63,279.63
GUESS,Women's Necklace UBN20127  ,,,,,SAR 176.59,176.59
GUESS,SPECIAL GIFT BOX bracelet and earrings UBS10804  ,1.0 out of 5 stars,1,1,1,SAR 130.01,130.01
GUESS,UBE21542N Stud Earring For Women  ,,,,,SAR 92.96,92.96
Swarovski,Iconic Swan Pendant Small Necklace Multi One Size  ,4.6 out of 5 stars,4.6,33,33,SAR 347.71,347.71
Swarovski,Swarovski Iconic Swan Pendant  ,4.6 out of 5 stars,4.6,314,314,SAR 281.43,281.43
GUESS,Women's Necklace UBN20060  ,,,,,SAR 180.34,180.34
GUESS,hoop earring with heart charm  ,,,,,SAR 110.77,110.77
Swarovski,"Sunny Hoop Pierced Earrings, Light multi-colored, Rhodium plated  ",4.5 out of 5 stars,4.5,91,91,SAR 386.96,386.96
GUESS,UBB84005-L Brass Dream Bracelet for Women  ,,,,,SAR 135.20,135.2
Swarovski,Women's Rhodium Plated Necklace - 5237054  ,,,,,SAR 546.12,546.12
GUESS,Women's Earrings UBE79099  ,4.3 out of 5 stars,4.3,20,20,SAR 127.43,127.43
GUESS,"Arm Bracelet for Women, Stainless Steel - UBB71245N  ",,,,,SAR 105.57,105.57
GUESS,UBB21323 Alloy Color Chic Bracelet for Women  ,,,,,SAR 178.35,178.35
GUESS,Womens Hoop With Stones Earring  ,4.1 out of 5 stars,4.1,26,26,SAR 74.19,74.19
GUESS,Women Chain Necklace UBN28011  ,4.7 out of 5 stars,4.7,16,16,SAR 203.86,203.86
GUESS,210455-21  ,4.2 out of 5 stars,4.2,239,239,SAR 104.95,104.95
Swarovski,"Women's Rose Gold Plated Metal Crystal Chain Necklace - 5345169, Rose Gold/Dark Gray  ",5.0 out of 5 stars,5,1,1,SAR 527.63,527.63
Swarovski,Iconic Swan Pendant Necklace  ,4.7 out of 5 stars,4.7,62,62,SAR 329.63,329.63
GUESS,"Womens Resin Fashion Bracelet - UBB51495N, Color Silver, Size One Size  ",,,,,,
Swarovski,Women's Ginger Rose-Gold Tone Finish Necklace & Earrings Clear Crystal Jewelry Collection  ,4.6 out of 5 stars,4.6,144,144,SAR 293.40,293.4
GUESS,Womens Triple Rolling Clutchless Hoop Earrings  ,3.7 out of 5 stars,3.7,5,5,SAR 83.87,83.87
GUESS,"Metal Hoops Women's Bamboo Hoop Earrings, Gold, One Size  ",3.9 out of 5 stars,3.9,708,708,SAR 76.26,76.26
GUESS,Hoop with Stones  ,4.2 out of 5 stars,4.2,41,41,SAR 71.91,71.91
Swarovski,"EarringS for Women, 5431895  ",4.6 out of 5 stars,4.6,116,116,SAR 235.57,235.57
GUESS,Women's Necklace UBN79146  ,,,,,SAR 134.74,134.74
Swarovski,Carrier Necklace  ,,,,,SAR 173.93,173.93
GUESS,Women's Necklace UBN78074  ,,,,,SAR 128.94,128.94
Swarovski,"EarringS for Women, 5459591  ",4.5 out of 5 stars,4.5,22,22,,
GUESS,Bracelet for Women - UBB71244N  ,,,,,SAR 134.90,134.9
GUESS,Women Stud Earrings UBE28074  ,3.6 out of 5 stars,3.6,3,3,SAR 68.02,68.02
GUESS,Slider Close Link Bracelet with Pave Heart Charm  ,2.9 out of 5 stars,2.9,2,2,SAR 89.53,89.53
GUESS,9 ON MIXED EAR SET  ,5.0 out of 5 stars,5,1,1,SAR 119.32,119.32
GUESS,"Womens Resin Fashion Bracelet - UBB51415N, Color Gold, Size One Size  ",,,,,,
Swarovski,Cube Gold Plated Crystal Band Ring - Size 18.15 mm  ,5.0 out of 5 stars,5,1,1,SAR 663.48,663.48
Swarovski,Women's White Rose-gold tone plated Creativity Circle Pendant 5202446  ,4.6 out of 5 stars,4.6,592,592,,
GUESS,"Women's Earrings Set with Stones, Silver, One Size  ",,,,,SAR 101.09,101.09
GUESS,Women's Bracelet UBB78095-L  ,,,,,SAR 128.00,128
GUESS,Women Stud Earrings UBE28080  ,,,,,SAR 81.74,81.74
GUESS,Women's Necklace UBN29131  ,,,,,SAR 115.16,115.16
GUESS,Women Jewelery Stainless Steel Core Collection - UBB11441  ,,,,,SAR 370.08,370.08
GUESS,Bracelet for Women - Multi Color - UBB21308N  ,3.0 out of 5 stars,3,1,1,SAR 103.46,103.46
GUESS,Women's Necklace UBN79159  ,5.0 out of 5 stars,5,2,2,SAR 131.31,131.31
Swarovski,Swarovski Women's Swan Crystal Bracelet and Necklace Jewelry Collection  ,4.6 out of 5 stars,4.6,76,76,,
GUESS,y Necklace with Stones  ,5.0 out of 5 stars,5,2,2,SAR 109.72,109.72
GUESS,Slider Close Link Bracelet with Pave Heart Charm  ,,,,,SAR 88.45,88.45
GUESS,Women's Duo Tension Bangle Set with Heart and Arrow  ,4.4 out of 5 stars,4.4,53,53,SAR 102.10,102.1
GUESS,Necklace for Women - UBN71270N  ,4.0 out of 5 stars,4,1,1,SAR 140.00,140
GUESS,Earrings Stainless Steel Heart Romance Ube70170 Heart Rodiado Swarovski Logo  ,2.0 out of 5 stars,2,1,1,SAR 103.00,103
Swarovski,Stardust Purple Double Bracelet 5102548  ,4.3 out of 5 stars,4.3,8,8,SAR 222.39,222.39
Swarovski,"Women's Lifelong Bow Jewelry Collection, Clear Crystals  ",4.5 out of 5 stars,4.5,137,137,,
GUESS,"Neklace for Women, UBN71294N  ",5.0 out of 5 stars,5,1,1,SAR 239.70,239.7
Swarovski,Women's Rhodium Plated Necklace - 5181467  ,,,,,SAR 456.76,456.76
GUESS,"Pendant Necklaces for Women,Stainless Steel - UBN51428N  ",5.0 out of 5 stars,5,1,1,SAR 530.00,530
GUESS,"Womens Stainless Steel Fashion Necklace - UBN29095, Color Multicolor, Size 45.0 cm  ",,,,,SAR 132.94,132.94
GUESS,Women's Necklace UBN29071  ,5.0 out of 5 stars,5,1,1,SAR 141.00,141
GUESS,Bracelet for Women - UBB21318N-L  ,,,,,SAR 153.68,153.68
GUESS,Women's Necklace UBN79070  ,,,,,SAR 109.79,109.79
Swarovski,"Women's Sparkling Dance Round Jewelry Collection, Rhodium Finish, Blue Crystals, Clear Crystals  ",4.5 out of 5 stars,4.5,155,155,SAR 403.53,403.53
Swarovski,Cycle Rhodium Plated Crystal Band Ring - Size 17.3 mm  ,,,,,SAR 323.45,323.45
GUESS,9 on mixed earring set  ,,,,,SAR 117.67,117.67
GUESS,Women's Necklace UBN20062  ,,,,,SAR 156.93,156.93
Swarovski,Freedom Rose Gold Plated Necklace with Clear Crystals 5237170  ,,,,,SAR 462.96,462.96
Swarovski,Women's Metal Crystals Bracelet - 5230676  ,,,,,SAR 374.48,374.48
Swarovski,"Women's Symbolic Stud Pierced Earrings, Blue, Rose-gold tone plated  ",4.6 out of 5 stars,4.6,753,753,SAR 347.45,347.45
